Sn	Team1	Team2	Pts1	Pts2	Diff	Ground	WC	Date
4	Scotland	France	20	20	0	Christchurch	1987	5/23/1987
428	Japan	Canada	12	12	0	Bordeaux	2007	9/25/2007
526	Japan	Canada	23	23	0	Napier	2011	9/27/2011
5	Romania	Zimbabwe	21	20	1	Auckland	1987	5/23/1987
61	Wales	Australia	22	21	1	Rotorua	1987	6/18/1987
117	Australia	Ireland	19	18	1	Lansdowne Road	1991	10/20/1991
173	Ireland	Wales	24	23	1	Johannesburg	1995	6/4/1995
293	Fiji	USA	19	18	1	Brisbane	2003	10/15/2003
331	Ireland	Argentina	16	15	1	Adelaide	2003	10/26/2003
349	Australia	Ireland	17	16	1	Melbourne	2003	11/1/2003
481	South Africa	Wales	17	16	1	Wellington	2011	9/11/2011
521	Argentina	Scotland	13	12	1	Wellington	2011	9/25/2011
555	France	Wales	9	8	1	Auckland	2011	10/15/2011
561	New Zealand	France	8	7	1	Auckland	2011	10/23/2011
625	Georgia	Namibia	17	16	1	Exeter	2015	10/7/2015
649	Australia	Scotland	35	34	1	Twickenham	2015	10/18/2015
103	Romania	Fiji	17	15	2	Brive la Gaillarde	1991	10/12/1991
225	Romania	USA	27	25	2	Lansdowne Road	1999	10/9/1999
345	Scotland	Fiji	22	20	2	Sydney	2003	11/1/2003
443	Scotland	Italy	18	16	2	Saint-Etienne	2007	9/29/2007
451	England	Australia	12	10	2	Marseille	2007	10/6/2007
453	France	New Zealand	20	18	2	Millennium Stadium	2007	10/6/2007
551	Australia	South Africa	11	9	2	Wellington	2011	10/9/2011
569	Japan	South Africa	34	32	2	Brighton	2015	9/19/2015
619	Romania	Canada	17	15	2	Leicester	2015	10/6/2015
651	New Zealand	South Africa	20	18	2	Twickenham	2015	10/24/2015
13	United States of America	Japan	21	18	3	Brisbane	1987	5/24/1987
31	Italy	Fiji	18	15	3	Dunedin	1987	5/31/1987
77	Samoa	Wales	16	13	3	Cardiff	1991	10/6/1991
121	England	Scotland	9	6	3	Murrayfield	1991	10/26/1991
165	France	Scotland	22	19	3	Pretoria	1995	6/3/1995
181	England	Australia	25	22	3	Cape Town	1995	6/11/1995
191	South Africa	New Zealand	15	12	3	Johannesburg	1995	6/24/1995
233	Tonga	Italy	28	25	3	Leicester	1999	10/10/1999
369	England	Australia	20	17	3	Sydney	2003	11/22/2003
559	Australia	Wales	21	18	3	Auckland	2011	10/21/2011
593	Wales	England	28	25	3	Twickenham	2015	9/26/2015
629	Scotland	Samoa	36	33	3	Newcastle	2015	10/10/2015
185	South Africa	France	19	15	4	Durban	1995	6/17/1995
