Team	QualDebut	FinalDebut	Region	1987	1991	1995	1999	2003	2007	2011	2015	best	best_text			
New Zealand	1987	1987	Oceania	1st	3rd	2nd	4th	3rd	QF	1st	1st	1st	"Champions (1987, 2011, 2015)"		1st	Champions
Australia	1987	1987	Oceania	4th	1st	QF	1st	2nd	QF	3rd	2nd	1st	"Champions (1991, 1999)"		2nd	Runners-up
South Africa	1995	1995	Africa			1st	3rd	QF	1st	QF	3rd	1st	"Champions (1995, 2007)"		3rd	Third place
England	1987	1987	Europe	QF	2nd	4th	QF	1st	2nd	QF	R1	1st	Champions (2003)		4th	Fourth place
Scotland	1987	1987	Europe	QF	4th	QF	QF	QF	QF	R1	QF	4th	Fourth place (1991)		QF	Quarterfinals (knockout round of 8)
Zimbabwe	1987	1987	Africa	R1	R1	DNQ	DNQ	DNQ	DNQ	DNQ	DNQ	R1	"Pool stage, 0 wins"		R2	Round 2 (1999: quarterfinal playoffs)
Ivory Coast	1991	1995	Africa		DNQ	R1	DNQ	DNQ	DNQ	DNQ	DNQ	R1	"Pool stage, 0 wins"		R1	Round 1 (pool stage)
Spain	1991	1999	Europe		DNQ	DNQ	R1	DNQ	DNQ	DNQ	DNQ	R1	"Pool stage, 0 wins"		DNQ	Did not qualify
Namibia	1995	1999	Africa			DNQ	R1	R1	R1	R1	R1	R1	"Pool stage, 0 wins"			
Portugal	1991	2007	Europe		DNQ	DNQ	DNQ	DNQ	R1	DNQ	DNQ	R1	"Pool stage, 0 wins"			
Russia	1995	2011	Europe			DNQ	DNQ	DNQ	DNQ	R1	DNQ	R1	"Pool stage, 0 wins"			
Romania	1987	1987	Europe	R1	R1	R1	R1	R1	R1	R1	R1	R1	"Pool stage, 1 win (1987, 1991, 1999, 2003, 2007, 2015)"			
United States	1987	1987	Americas - North	R1	R1	DNQ	R1	R1	R1	R1	R1	R1	"Pool stage, 1 win (1987, 2003, 2011)"			
Uruguay	1995	1999	Americas - South			DNQ	R1	R1	DNQ	DNQ	R1	R1	"Pool stage, 1 win (1999, 2003)"			
Italy	1987	1987	Europe	R1	R1	R1	R1	R1	R1	R1	R1	R1	"Pool stage, 2 wins (2003, 2007, 2011, 2015)"			
Tonga	1987	1987	Oceania	R1	DNQ	R1	R1	R1	R1	R1	R1	R1	"Pool stage, 2 wins (2007, 2011)"			
Georgia	1995	2003	Europe			DNQ	DNQ	R1	R1	R1	R1	R1	"Pool stage, 2 wins (2015)"			
Japan	1987	1987	Asia	R1	R1	R1	R1	R1	R1	R1	R1	R1	"Pool stage, 3 wins (2015)"			
Ireland	1987	1987	Europe	QF	QF	QF	R2	QF	R1	QF	QF	QF	"Quarter-finals (1987, 1991, 1995, 2003, 2011, 2015)"			
Fiji	1987	1987	Oceania	QF	R1	DNQ	R2	R1	QF	R1	R1	QF	"Quarter-finals (1987, 2007)"			
Canada	1987	1987	Americas - North	R1	QF	R1	R1	R1	R1	R1	R1	QF	Quarter-finals (1991)			
